"metric","linkage","k_auto","chooser","mean_silhouette","k_dtc","sil_dtc","k_sil","sil_best"
"euclidean","average",2,"DynamicTreeCut",0.21078762505036,2,0.21078762505036,2,0.21078762505036
"spearman","average",2,"DynamicTreeCut",0.190213446056551,2,0.190213446056551,2,0.190213446056551
"spearman","complete",2,"Silhouette",0.139447717641656,4,0.0507757195467394,2,0.139447717641656
"euclidean","complete",3,"Silhouette",0.121860516479361,5,0.00910227568185722,3,0.121860516479361
"pearson","average",4,"DynamicTreeCut",0.0637523794594184,4,0.0637523794594184,8,0.071874474814488
"cosine","average",3,"DynamicTreeCut",0.0615380062496906,3,0.0615380062496906,8,0.0700255071388477
"euclidean","ward.D2",2,"Silhouette",0.0493054243691826,4,0.015604532400706,2,0.0493054243691826
"pearson","complete",4,"DynamicTreeCut",0.0488963326126729,4,0.0488963326126729,2,0.0585127510946613
"cosine","complete",5,"DynamicTreeCut",0.0379994213763964,5,0.0379994213763964,2,0.0560221774571384
