"","sample","Sig1","Sig2","Sig3","Sig4"
"1","TUMOR_1","5.030718e-15","9.380456e-02","5.333611e-01","3.728345e-01"
"2","TUMOR_10","1.383162e-01","2.297992e-01","6.318843e-01","4.010051e-15"
"3","TUMOR_10_dbgap","3.886639e-12","1.513208e-11","3.515423e-11","1.000001e+00"
"4","TUMOR_11","6.907136e-12","7.028444e-12","9.999996e-01","2.789509e-11"
"5","TUMOR_11_dbgap","5.466263e-01","4.533735e-01","3.817024e-10","4.010051e-15"
"6","TUMOR_13","2.128575e-01","4.841099e-15","6.547877e-01","1.323546e-01"
"7","TUMOR_14","2.707566e-01","1.191399e-01","4.171719e-01","1.929314e-01"
"8","TUMOR_14_dbgap","5.395177e-01","1.803499e-01","4.676577e-15","2.801326e-01"
"9","TUMOR_15","2.506522e-11","7.705664e-12","9.999996e-01","1.500871e-11"
"10","TUMOR_15_dbgap","1.982500e-01","1.994941e-01","6.022556e-01","4.010051e-15"
"11","TUMOR_16","8.210844e-01","1.789153e-01","5.691486e-12","4.010051e-15"
"12","TUMOR_16_dbgap","7.977461e-01","1.480663e-01","4.676577e-15","5.418750e-02"
"13","TUMOR_18_dbgap","3.733151e-01","3.767657e-01","2.499190e-01","1.782662e-11"
"14","TUMOR_19_dbgap","5.030718e-15","1.307118e-06","2.589063e-01","7.410931e-01"
"15","TUMOR_2","4.987096e-01","4.841099e-15","2.261939e-01","2.750965e-01"
"16","TUMOR_20_dbgap","1.224140e-01","2.845104e-01","4.844137e-01","1.086618e-01"
"17","TUMOR_21_dbgap","6.807381e-01","2.020894e-01","5.681927e-02","6.035315e-02"
"18","TUMOR_22_dbgap","8.499838e-01","1.500160e-01","4.676577e-15","2.302709e-11"
"19","TUMOR_24_dbgap","2.597623e-01","2.769567e-01","3.172596e-01","1.460213e-01"
"20","TUMOR_25_dbgap","3.890026e-01","1.863309e-01","3.107801e-01","1.138863e-01"
"21","TUMOR_26_dbgap","1.728761e-01","4.615568e-11","8.271235e-01","4.010051e-15"
"22","TUMOR_27_dbgap","4.052123e-01","4.841099e-15","3.046492e-01","2.901385e-01"
"23","TUMOR_28_dbgap","9.171303e-01","4.841099e-15","4.676577e-15","8.286950e-02"
"24","TUMOR_29_dbgap","8.355743e-02","6.521402e-01","4.676577e-15","2.643026e-01"
"25","TUMOR_3","4.741161e-01","4.841099e-15","5.258835e-01","2.262821e-11"
"26","TUMOR_30_dbgap","2.679491e-01","4.504515e-02","2.117214e-02","6.658342e-01"
"27","TUMOR_31_dbgap","4.393568e-10","1.000000e+00","1.129106e-14","3.704269e-12"
"28","TUMOR_32_dbgap","5.030718e-15","6.984629e-01","1.810615e-11","3.015374e-01"
"29","TUMOR_33_dbgap","6.076693e-02","1.416525e-01","4.845222e-01","3.130585e-01"
"30","TUMOR_36_dbgap","7.855591e-02","3.733910e-11","5.773047e-01","3.441395e-01"
"31","TUMOR_37_dbgap","5.030718e-15","7.184973e-01","1.972709e-01","8.423172e-02"
"32","TUMOR_38_dbgap","6.591435e-01","4.841099e-15","1.192794e-01","2.215770e-01"
"33","TUMOR_39_dbgap","3.032848e-01","2.018567e-01","2.177398e-01","2.771188e-01"
"34","TUMOR_4","3.062432e-01","3.739731e-01","4.676577e-15","3.197839e-01"
"35","TUMOR_4_dbgap","5.011080e-01","3.580193e-01","1.408725e-01","4.010051e-15"
"36","TUMOR_40_dbgap","5.030718e-15","1.000000e+00","4.964285e-10","5.188546e-11"
"37","TUMOR_41_dbgap","4.746399e-14","1.000000e+00","8.763396e-11","1.318348e-11"
"38","TUMOR_42_dbgap","4.312725e-01","2.549503e-01","3.137770e-01","4.010051e-15"
"39","TUMOR_43_dbgap","2.608478e-11","9.366566e-01","6.334337e-02","8.540826e-12"
"40","TUMOR_44_dbgap","6.928983e-02","5.859247e-01","1.744302e-01","1.703553e-01"
"41","TUMOR_45_dbgap","5.030718e-15","1.336365e-10","3.369629e-01","6.630376e-01"
"42","TUMOR_47_dbgap","2.076614e-02","9.792338e-01","4.676577e-15","4.010051e-15"
"43","TUMOR_48_dbgap","5.030718e-15","8.556855e-01","1.443144e-01","8.197558e-12"
"44","TUMOR_49_dbgap","1.712967e-01","4.841099e-15","2.032422e-01","6.254616e-01"
"45","TUMOR_5","5.161342e-01","4.841099e-15","4.838654e-01","4.010051e-15"
"46","TUMOR_5_dbgap","5.030718e-15","4.788400e-01","8.630866e-12","5.211605e-01"
"47","TUMOR_51_dbgap","9.999997e-01","3.467372e-12","1.809773e-11","9.875889e-12"
"48","TUMOR_52_dbgap","5.179531e-01","4.820467e-01","4.676577e-15","4.010051e-15"
"49","TUMOR_53_dbgap","1.896137e-01","1.622428e-01","4.676577e-15","6.481441e-01"
"50","TUMOR_58_dbgap","2.273403e-01","1.659138e-01","4.902350e-01","1.165107e-01"
"51","TUMOR_59_dbgap","2.577486e-01","1.297845e-01","3.942262e-01","2.182407e-01"
"52","TUMOR_6","5.030718e-15","7.223903e-02","9.277606e-01","3.250000e-11"
"53","TUMOR_60_dbgap","6.679757e-01","2.250076e-01","3.202721e-02","7.498933e-02"
"54","TUMOR_61_dbgap","2.317203e-11","1.000000e+00","8.313642e-12","4.269502e-11"
"55","TUMOR_62_dbgap","5.017489e-01","2.883736e-01","2.098773e-01","4.010051e-15"
"56","TUMOR_63_dbgap","7.917256e-02","9.208274e-01","4.774510e-12","4.010051e-15"
"57","TUMOR_64_dbgap","6.325613e-02","4.841099e-15","1.151492e-10","9.367448e-01"
"58","TUMOR_65_dbgap","5.641935e-01","1.357268e-01","7.630787e-02","2.237719e-01"
"59","TUMOR_67_dbgap","4.451621e-01","2.563527e-01","2.984849e-01","4.010051e-15"
"60","TUMOR_68_dbgap","3.583253e-02","2.622669e-01","7.019003e-01","4.010051e-15"
"61","TUMOR_69_dbgap","4.504164e-01","3.887106e-01","4.676577e-15","1.608731e-01"
"62","TUMOR_7","2.063011e-02","2.005602e-01","7.788093e-01","7.151558e-12"
"63","TUMOR_7_dbgap","2.599073e-01","2.022039e-01","3.336676e-11","5.378894e-01"
"64","TUMOR_74_dbgap","8.684204e-01","8.328389e-02","3.854107e-02","9.754384e-03"
"65","TUMOR_75_dbgap","5.491805e-01","6.834437e-02","1.568448e-01","2.256304e-01"
"66","TUMOR_76_dbgap","8.229141e-02","9.177085e-01","4.676577e-15","8.795632e-12"
"67","TUMOR_8","3.263009e-01","4.293921e-12","2.621971e-13","6.736997e-01"
"68","TUMOR_8_dbgap","5.894157e-01","4.841099e-15","2.913610e-01","1.192231e-01"
"69","TUMOR_80_dbgap","3.381332e-01","4.841099e-15","4.203328e-01","2.415340e-01"
"70","TUMOR_9","1.351573e-01","2.655805e-12","8.648423e-01","8.762228e-14"
"71","TUMOR_9_dbgap","1.130002e-01","1.025708e-01","4.084000e-01","3.760292e-01"
