"Signature","Rank","COSMIC","Similarity"
"Sig1",1,"SBS1",0.917039329963469
"Sig1",2,"SBS6",0.883586691864114
"Sig1",3,"SBS15",0.782122329289184
"Sig2",1,"SBS4",0.867689653154118
"Sig2",2,"SBS94",0.796479683553155
"Sig2",3,"SBS95",0.793190946602773
"Sig3",1,"SBS3",0.660439187734147
"Sig3",2,"SBS40a",0.646917958087368
"Sig3",3,"SBS5",0.631369701171035
"Sig4",1,"SBS40a",0.651345224829614
"Sig4",2,"SBS25",0.635250169388196
"Sig4",3,"SBS6",0.611643147025857
"Sig5",1,"SBS3",0.644856309640613
"Sig5",2,"SBS9",0.631705034516328
"Sig5",3,"SBS17b",0.576675509727706
